headline,author,source,date,wordcount,permalink,decade
Recession caused partly by construction push,,Business Times,21-Nov-85,828,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19851121-1.2.24.3.aspx,80
Debate next week,,Straits Times,22-Feb-86,810,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19860222-1.2.21.22.aspx,80
Who's who in the council,,Straits Times,25-Apr-86,372,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19860425-1.2.24.15.aspx,80
Cowec scheme is in a tight spot,,Business Times,29-May-86,1551,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19860529-1.2.22.2.aspx,80
Benefits hold key to Cowec's survival,,Straits Times,4-Jun-86,1270,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19860604-1.2.35.5.aspx,80
"Plan welcome, but some feel $200 is too little",,Straits Times,31-Jul-86,856,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19860731-1.2.278.aspx,80
When intervention is lauded,Zhou Mei,Business Times,2-Sep-86,2371,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19860902-1.2.23.2.aspx,80
Look East for lessons to cure American disease,,Straits Times,2-Sep-86,1970,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19890902-1.2.47.1.aspx,80
Look East for lessons to cure the American disease,Harvey C. Bunke,Straits Times,2-Sep-86,1821,https://ezlibproxy1.ntu.edu.sg/login?url=https://global.factiva.com/en/du/article.asp?NAPC=S&AccessionNo=STIMES0020050603dl92008k1&xsid=S001cFk3GV90HVyMTZyMTAoNDapOTItNXmm5DFHY96oYqZlNFFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFBQUFB,80
One more year of restraint to get back on growth path,,Straits Times,25-May-87,2006,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19870525-1.2.31.5.aspx,80
Considering alternatives in economic policies,Zhou Mei,Business Times,13-Jan-88,1069,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19880113-1.2.31.2.aspx,80
NUS economists on S'pore's winning formula,,Straits Times,13-Jan-88,1714,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/straitstimes19880113-1.2.27.3.aspx,80
ways of Dragon,Chuang Peck Meng,Business Times,17-Feb-88,2621,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19880217-1.2.21.2.aspx,80
magical formulae that transformed Taiwan,Zhou Mei,Business Times,13-Apr-88,1549,http://eresources.nlb.gov.sg/newspapers/Digitised/Article/biztimes19880413-1.2.28.2.aspx,80
